<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
FI,D,20231005,112.73,113.34,111.78,113.15,2613300
FICO,D,20231005,857.34,866.53,851.79,862.53,109500
FIF,D,20231005,13.86,13.89,13.8179,13.89,19200
FIGS,D,20231005,6.02,6.09,5.86,6.08,1803400
FIHL,D,20231005,14.48,14.97,14.31,14.51,204400
FINS,D,20231005,11.99,12.09,11.92,11.94,43900
FINV,D,20231005,4.75,4.8,4.7,4.75,872500
FIS,D,20231005,54.14,54.47,53.44,54.15,3322600
FIX,D,20231005,166.17,167.28,164.88,166.03,199900
FL,D,20231005,18.12,19.07,18.0765,19.03,4027700
FLC,D,20231005,13.24,13.26,13.125,13.18,58800
FLM.W,D,20231005,0.66,0.724,0.65,0.7,12400
FLME,D,20231005,10.49,10.5,10.49,10.5,3100
FLNG,D,20231005,28,29.03,27.98,29.03,334300
FLO,D,20231005,22.06,22.11,21.585,21.62,1248100
FLR,D,20231005,35.22,35.69,34.75,35.05,1861900
FLS,D,20231005,38.29,38.66,37.895,37.91,1047500
FLT,D,20231005,250.08,253.53,249.265,252.07,320700
FMC,D,20231005,64.6,65.005,63,63.51,1186300
FMN,D,20231005,9.66,9.66,9.5201,9.56,19800
FMS,D,20231005,20.66,20.885,20.65,20.85,326000
FMX,D,20231005,108.45,108.45,104.43,105.59,776900
FMY,D,20231005,10.91,11.05,10.88,11.05,1200
FN,D,20231005,173.06,174.41,169,174.12,589900
FNA,D,20231005,11.59,11.67,10.96,11.05,337500
FNB,D,20231005,10.6,10.94,10.57,10.92,2656900
FNB-E,D,20231005,24.6064,24.6064,24.34,24.38,8300
FND,D,20231005,85.6,86.29,83.275,85.18,2035000
FNF,D,20231005,38.94,39.838,38.8,39.62,1995300
FNV,D,20231005,128.4,130.73,128.27,130.71,267200
FOA,D,20231005,1.25,1.27,1.21,1.24,89000
FOA.W,D,20231005,0.0998,0.0998,0.0998,0.0998,400
FOF,D,20231005,10.05,10.23,9.99,10.09,61700
FOR,D,20231005,26.45,26.63,26.13,26.29,168700
FOUR,D,20231005,52.83,53.75,52.675,53.33,877700
FPF,D,20231005,14.43,14.4934,14.26,14.29,228300
FPH,D,20231005,2.72,2.78,2.7011,2.76,30300
FPI,D,20231005,10.27,10.48,10.268,10.44,395000
FPL,D,20231005,5.97,6.01,5.93,5.98,34900
FR,D,20231005,46.17,46.7899,46.04,46.63,848400
FRA,D,20231005,12.35,12.3795,12.28,12.36,77100
FRE.W,D,20231005,0.9,0.9,0.82,0.82,11700
FREY,D,20231005,4.68,4.68,4.42,4.44,1792900
FRGE,D,20231005,1.96,2.01,1.9406,2.01,245800
FRO,D,20231005,17.42,18.8,17.39,18.69,9084300
FRT,D,20231005,87.95,88.36,87.32,87.84,547000
FRT-C,D,20231005,19.26,19.26,19.25,19.25,1000
FRX.T,D,20231005,0.021,0.021,0.021,0.021,400
FRXB,D,20231005,10.36,10.36,10.36,10.36,100
FSCO,D,20231005,5.48,5.53,5.42,5.43,746300
FSD,D,20231005,10.44,10.5199,10.41,10.43,75800
FSK,D,20231005,19.15,19.3262,19.15,19.27,877600
FSLY,D,20231005,17.61,17.801,15.65,15.76,7458100
FSM,D,20231005,2.67,2.8,2.6559,2.74,2833800
FSR,D,20231005,6.26,6.42,5.8501,6.05,9888200
FSS,D,20231005,59.83,60.425,59.04,59.04,246500
FT,D,20231005,6.24,6.26,6.2001,6.24,15600
FTCH,D,20231005,1.92,1.92,1.8,1.82,7573800
FTHY,D,20231005,12.99,13.06,12.9,12.93,81800
FTI,D,20231005,19.13,19.53,18.94,19.01,4331100
FTK,D,20231005,4.32,4.3765,4.25,4.25,15700
FTS,D,20231005,37.96,38.88,37.96,38.87,1992900
FTV,D,20231005,74.52,74.8,73.91,74.6,1501500
FUBO,D,20231005,2.47,2.5199,2.37,2.43,6074600
FUL,D,20231005,70.31,70.6475,69.9,70.06,532300
FUN,D,20231005,36.62,37.28,36.065,36.43,124800
FVRR,D,20231005,24.59,24.59,23.775,23.99,781800
FZT,D,20231005,11.03,11.93,7.17,7.76,67700
