<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ATER,20231013,0.32,0.3437,0.3021,0.3026,480700
ATEX,20231013,31.49,31.58,31.08,31.56,148000
ATHA,20231013,1.75,1.8,1.69,1.79,176200
ATHE,20231013,2.48,2.48,2.43,2.43,1200
ATHX,20231013,0.11,0.13,0.1015,0.1028,11056400
ATIF,20231013,1.2101,1.34,1.12,1.34,5500
ATLC,20231013,30.2,30.7,27.85,28.19,30500
ATLCL,20231013,22,22,21.95,21.95,600
ATLCP,20231013,19.34,19.69,19.34,19.66,3700
ATLO,20231013,16.23,16.23,15.54,15.67,18000
ATLX,20231013,27.47,28.3,27.47,27.75,23600
ATMC,20231013,10.685,10.685,10.685,10.685,500
ATMCU,20231013,10.86,10.86,10.86,10.86,100
ATMVU,20231013,10.7695,10.7695,10.74,10.74,4200
ATNF,20231013,0.5796,0.5796,0.5206,0.5599,25800
ATNFW,20231013,0.0124,0.0124,0.0103,0.0104,7000
ATNI,20231013,33.5,33.64,32.92,33.09,37000
ATOM,20231013,6.41,6.7283,6.2049,6.27,102900
ATOS,20231013,0.6889,0.695,0.6601,0.6601,234500
ATPC,20231013,1.15,1.82,1.15,1.6,3104400
ATRA,20231013,1.52,1.56,1.435,1.54,758600
ATRC,20231013,36.49,37.05,35.98,36.59,345700
ATRI,20231013,401.55,401.865,394.56,399.3,5400
ATRO,20231013,15.81,15.81,15.12,15.27,116300
ATSG,20231013,20.56,20.62,20.02,20.16,257400
ATXG,20231013,1.24,1.5,1.17,1.5,112900
ATXI,20231013,0.5901,0.61,0.58,0.5998,82500
ATXS,20231013,6.44,6.45,6.225,6.38,94300
AUDC,20231013,9.19,9.19,8.835,8.88,136900
AUGX,20231013,5.3,5.56,4.92,5.05,416800
AUID,20231013,7.5501,8,7.5501,7.9,5800
AUPH,20231013,7.43,7.52,7.29,7.52,742300
AUR,20231013,1.91,1.955,1.82,1.85,5275200
AURA,20231013,8.39,8.635,8.28,8.47,83000
AUROW,20231013,0.2026,0.2063,0.1825,0.1999,8800
AUTL,20231013,2.33,2.375,2.27,2.35,160500
AUUD,20231013,0.2851,0.2987,0.2702,0.2776,117100
AUUDW,20231013,0.0517,0.0517,0.0301,0.035,5100
AUVI,20231013,0.2999,0.3099,0.2718,0.28,473600
AUVIP,20231013,1.98,2.21,1.66,1.99,2900
AVAH,20231013,1.09,1.19,1.08,1.17,161000
AVAV,20231013,114.8,115.3417,109.68,111.52,550000
AVDL,20231013,10.12,10.56,9.78,10.52,667300
AVDX,20231013,9.1,9.105,8.87,9,1841000
AVGO,20231013,909,925.91,882.09,883.18,2833300
AVGR,20231013,4.36,5.91,4.36,5.3,258200
AVID,20231013,26.9,26.925,26.89,26.9,479900
AVIR,20231013,3.04,3.04,3,3.03,177200
AVNW,20231013,27.99,27.99,26.71,26.81,84200
AVO,20231013,8.77,9.0477,8.77,9.03,157600
AVPT,20231013,7.31,7.335,7.15,7.25,521900
AVPTW,20231013,1.03,1.0465,1.01,1.03,4000
AVRO,20231013,1.57,1.59,1.55,1.56,226500
AVT,20231013,48.09,48.135,47.23,47.24,377000
AVTA,20231013,25.6,25.71,25.6,25.67,268800
AVTE,20231013,10.8,11.56,10.621,11,59600
AVTX,20231013,0.1501,0.167,0.1465,0.1489,64555900
AVXL,20231013,5.89,6.22,5.8,6.05,790700
AWH,20231013,5.06,5.14,4.92,5.14,10300
AWIN,20231013,0.1452,0.148,0.1351,0.144,1210700
AWINW,20231013,0.0283,0.0283,0.0282,0.0282,400
AWRE,20231013,1.38,1.4,1.37,1.37,9400
AXDX,20231013,5.83,6.0922,5.75,5.88,11600
AXGN,20231013,4.04,4.1,3.92,3.98,669800
AXLA,20231013,10.2,10.33,9.29,9.53,58000
AXNX,20231013,50.86,53.08,50.46,53,764800
AXON,20231013,216.63,217.88,214.2767,215.43,410200
AXSM,20231013,66.23,67.4292,65.65,66.47,559200
AXTI,20231013,2.43,2.43,2.3,2.33,105300
AY,20231013,18.19,18.36,17.675,17.74,554500
AYRO,20231013,2.14,2.19,2.0501,2.095,13900
AYTU,20231013,3.15,3.15,2.7301,2.99,34700
AZ,20231013,1.43,1.43,1.23,1.28,42900
AZN,20231013,67.71,68.13,66.955,67.33,3858200
AZPN,20231013,200.74,201.27,197.872,199.06,108500
AZTA,20231013,50.53,50.85,49.76,50.03,521300
BABX,20231013,18.7,19.04,18.5033,18.6,14600
BACK,20231013,1.9,1.94,1.83,1.91,4800
BAER,20231013,7.26,7.305,7.15,7.16,3500
BAERW,20231013,0.235,0.235,0.235,0.235,100
