Symbol,Name,Country,IPO Year,Volume,Sector,Industry
LVTX,LAVA Therapeutics N.V. Ordinary Shares,Netherlands,2021,12187,Health Care,Biotechnology: Pharmaceutical Preparations
LWAY,Lifeway Foods Inc. Common Stock,United States,,26390,Consumer Staples,Packaged Foods
LWLG,Lightwave Logic Inc. Common Stock,United States,,477217,Industrials,Containers/Packaging
LX,LexinFintech Holdings Ltd. American Depositary Shares,China,2017,3160942,Finance,Finance: Consumer Services
LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,China,2020,45401,Real Estate,Other Consumer Services
LXEO,Lexeo Therapeutics Inc. Common Stock,United States,2023,671167,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LXRX,Lexicon Pharmaceuticals Inc. Common Stock,United States,,7397913,Health Care,Biotechnology: Pharmaceutical Preparations
LYEL,Lyell Immunopharma Inc. Common Stock,United States,2021,596309,Health Care,Biotechnology: Pharmaceutical Preparations
LYFT,Lyft Inc. Class A Common Stock,United States,2019,9962439,Consumer Discretionary,Business Services
LYRA,Lyra Therapeutics Inc. Common Stock,United States,2020,1479022,Health Care,Medical/Dental Instruments
LYTS,LSI Industries Inc. Common Stock,United States,1985,244612,Consumer Discretionary,Building Products
LZ,LegalZoom.com Inc. Common Stock,United States,2021,1142628,Technology,EDP Services
LZMH,LZ Technology Holdings Limited Class B Ordinary Shares,China,2025,1004136,Technology,EDP Services
MACI,Melar Acquisition Corp. I Class A Ordinary Shares,United States,2024,48396,,
MACIW,Melar Acquisition Corp. I Warrant,United States,2024,2100,,
MAMA,Mama's Creations Inc. Common Stock,United States,,179801,Consumer Staples,Specialty Foods
MAMO,Massimo Group Common Stock,United States,2024,8711,Consumer Discretionary,Industrial Specialties
MANH,Manhattan Associates Inc. Common Stock,United States,1998,649719,Technology,Computer Software: Prepackaged Software
MAPS,WM Technology Inc. Class A Common Stock ,United States,2019,731759,Technology,Computer Software: Prepackaged Software
MAPSW,WM Technology Inc. Warrants ,United States,2019,12000,Technology,Computer Software: Prepackaged Software
MAR,Marriott International Class A Common Stock,United States,,2418262,Consumer Discretionary,Hotels/Resorts
MARA,MARA Holdings Inc. Common Stock,United States,,30247077,Technology,EDP Services
MARPS,Marine Petroleum Trust Units of Beneficial Interest,United States,,1003,Energy,Oil & Gas Production
MASI,Masimo Corporation Common Stock,United States,2007,352679,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MASK,3 E Network Technology Group Ltd Class A Ordinary Shares,China,2025,9042,,
MASS,908 Devices Inc. Common Stock,United States,2020,287159,Industrials,Industrial Machinery/Components
MAT,Mattel Inc. Common Stock,United States,,3760335,Consumer Discretionary,Recreational Games/Products/Toys
MATH,Metalpha Technology Holding Limited Ordinary Shares,China,2017,183630,Finance,Finance/Investors Services
MATW,Matthews International Corporation Class A Common Stock,United States,1994,178027,Telecommunications,Metal Fabrications
MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares,Singapore,,106686,Technology,Semiconductors
MAYA,Maywood Acquisition Corp. Class A Ordinary Shares,United States,2025,178561,,
MAYAU,Maywood Acquisition Corp. Unit,United States,2025,8703,Finance,Blank Checks
MAYS,J. W. Mays Inc. Common Stock,United States,,10,Real Estate,Building operators
MAZE,Maze Therapeutics Inc. Common Stock,United States,2025,213196,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MB,MasterBeef Group Ordinary Shares,Hong Kong,2025,86602,Consumer Discretionary,Restaurants
MBAV,M3-Brigade Acquisition V Corp. Class A Ordinary shares,United States,2024,669503,,
