<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AMD,D,20230727,111.79,115.08,110.51,111.1,70677900
AMED,D,20230727,90.92,90.92,90.25,90.5,309000
AMEH,D,20230727,35.5,35.74,34.4,34.55,125300
AMGN,D,20230727,234.48,238.48,234.3082,236.05,2439600
AMID,D,20230727,27.5199,27.5199,27.201,27.201,100
AMKR,D,20230727,29.19,29.76,28.78,29.06,939200
AMLI,D,20230727,1.96,1.97,1.8531,1.88,804100
AMLX,D,20230727,22.88,23.15,22.035,22.26,928100
AMNB,D,20230727,40.07,41.08,39.9942,40.79,101300
AMOT,D,20230727,38.73,38.88,38.38,38.61,114100
AMPG,D,20230727,2.21,2.3099,2.13,2.17,37200
AMPH,D,20230727,61.99,61.99,60.34,60.61,293900
AMPL,D,20230727,11.45,11.54,10.86,10.92,269700
AMRK,D,20230727,41.88,42.11,39.7,39.79,197600
AMRN,D,20230727,1.14,1.16,1.12,1.12,2305700
AMRS,D,20230727,0.9054,0.9229,0.802,0.8146,7648800
AMSC,D,20230727,7.96,9.15,7.71,8.45,2200900
AMSF,D,20230727,56.06,56.54,54.72,55.7,86300
AMST,D,20230727,3.8,3.8,3.65,3.68,15600
AMSWA,D,20230727,10.68,10.74,10.52,10.71,410400
AMTB,D,20230727,20.45,20.45,19.98,20.1,59500
AMTI,D,20230727,0.322,0.329,0.3005,0.31,25300
AMTX,D,20230727,7.36,7.41,6.48,6.64,641800
AMWD,D,20230727,77.12,78.215,76.35,76.82,88500
AMZD,D,20230727,21.05,21.55,20.82,21.51,56500
AMZN,D,20230727,131,132.63,127.79,128.25,52610600
AMZU,D,20230727,23.34,23.8,22.54,22.64,147500
ANAB,D,20230727,17.19,17.19,16.66,16.74,121500
ANDE,D,20230727,49,49.515,48.72,49.24,149200
ANEB,D,20230727,2.25,2.25,2.25,2.25,200
ANGH,D,20230727,1.12,1.2,1.08,1.08,8600
ANGI,D,20230727,3.77,3.77,3.61,3.62,279700
